Product Name,Product Price,Product URL,Ratings,Brand,Hardware Interface,Memory
Apricorn 500GB Aegis Padlock USB 3.0 256-bit AES XTS Hardware Encrypted Portable External Hard Drive (A25-3PL256-500),155.14,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0733579VNCT2BDFPYJ8&url=%2FApricorn-Hardware-Encrypted-Portable-A25-3PL256-500%2Fdp%2FB007JGB0BQ%2Fref%3Dsr_1_28_sspa%3Fdchild%3D1%26keywords%3DSeagate%2BHard%2BDrive%26qid%3D1619424557%26sr%3D8-28-spons%26psc%3D1&qualifier=1619424557&id=2053760944892977&widgetName=sp_mtf,4.6 out of 5 stars,Apricorn,USB,500 GB
Apricorn 30GB Aegis Secure Key FIPS 140-2 Level 3 Validated 256-bit Encryption USB 3.0 Flash Drive (ASK3-30GB),130.94,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A072437138OGFCFH7WJG4&url=%2FApricorn-Validated-256-bit-Encryption-ASK3-30GB%2Fdp%2FB00XWPGKCW%2Fref%3Dsr_1_16_sspa%3Fdchild%3D1%26keywords%3DSeagate%2BHard%2BDrive%26qid%3D1619424467%26sr%3D8-16-spons%26psc%3D1&qualifier=1619424467&id=8829534904006922&widgetName=sp_mtf,4.4 out of 5 stars,Apricorn,USB 3.0,30 GB
"Crucial BX500 240GB 3D NAND SATA 2.5-Inch Internal SSD, up to 540MB/s - CT240BX500SSD1 Black/Blue",39.16,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A06931592MPV47WK4AZPS&url=%2FCrucial-BX500-240GB-2-5-Inch-Internal%2Fdp%2FB07G3YNLJB%2Fref%3Dsr_1_49_sspa%3Fdchild%3D1%26keywords%3DHP%2BHard%2BDrive%26qid%3D1619424003%26sr%3D8-49-spons%26psc%3D1&qualifier=1619424003&id=2041495442332814&widgetName=sp_atf_next,4.8 out of 5 stars,Crucial,SATA 6.0 Gb/s,240 GB
"Crucial X8 1TB Portable SSD – Up to 1050MB/s – USB 3.2 – External Solid State Drive, USB-C, USB-A – CT1000X8SSD9",124.95,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00790321JIZSIB9JU9Y&url=%2FCrucial-1TB-Portable-SSD-USB%2Fdp%2FB07YD5TK4F%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DSanDisk%2BHard%2BDrive%26qid%3D1619424208%26sr%3D8-1-spons%26psc%3D1&qualifier=1619424208&id=5706392565895059&widgetName=sp_atf,4.6 out of 5 stars,Crucial,USB 3.1 Type C,1 TB
EASTFUN 5Pcs 8GB USB Flash Drive USB 2.0 Flash Memory Stick Thumb Stick Pen(Five Mixed Colors: Blue Purple Rose Green Gold),12.99,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A027198021EWH9KPC5Y1H&url=%2FEASTFUN-Flash-Drive-Memory-Colors%2Fdp%2FB01CKT1DTA%2Fref%3Dsr_1_18_sspa%3Fdchild%3D1%26keywords%3DSanDisk%2BHard%2BDrive%26qid%3D1619424319%26sr%3D8-18-spons%26psc%3D1&qualifier=1619424319&id=2732120363140113&widgetName=sp_atf_next,4.6 out of 5 stars,EASTFUN,USB 2.0,8 GB
"Fantom Drives 5TB Internal Hard Drive Upgrade Kit with Seagate Barracuda ST5000LM000, 2.5"", 15mm, 5400RPM, 128MB Cache",152.09,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A055399427QSW3TYLOFV1&url=%2FFantom-Drives-Barracuda-ST5000LM000-Converter%2Fdp%2FB07NX8RKH4%2Fref%3Dsr_1_38_sspa%3Fdchild%3D1%26keywords%3DSeagate%2BHard%2BDrive%26qid%3D1619424557%26sr%3D8-38-spons%26psc%3D1&qualifier=1619424557&id=2053760944892977&widgetName=sp_btf,4.3 out of 5 stars,Fantom Drives,SATA 6.0 Gb/s,5 TB
"G-Technology 2TB G-DRIVE mobile SSD Durable Portable External Storage - USB-C (USB 3.1), Up to 560 MB/s - 0G06054-1, black",299.95,https://www.amazon.com//G-Technology-0G06054-G-Drive-Portable-Storage/dp/B0765LJWFZ/ref=sr_1_61?dchild=1&keywords=Samsung+Hard+Drive&qid=1619425095&sr=8-61,4.8 out of 5 stars,G-Technology,"USB 3.0 Type A, USB 3.0 Type C",2 TB
"External Hard Drive 2TB, Portable Hard Drive External for PC, Laptop and Mac(red,2TB)",49.99,https://www.amazon.com//External-Hard-Drive-Portable-Laptop/dp/B08ZD5BKFX/ref=sr_1_34?dchild=1&keywords=Lenovo+Hard+Drive&qid=1619424013&sr=8-34,2.5 out of 5 stars,Generial,"USB, USB 2.0",2000 GB
"2TB External Hard Drive, Portable Hard Drive External Type-C/USB 2.0 HDD for Mac Laptop PC(2TB-red)",49.99,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A10347561OR8NDFR12CMP&url=%2FExternal-Portable-Type-C-Laptop-2TB-red%2Fdp%2FB08V1CGBGW%2Fref%3Dsr_1_44_sspa%3Fdchild%3D1%26keywords%3DSamsung%2BHard%2BDrive%26qid%3D1619424971%26sr%3D8-44-spons%26psc%3D1%26smid%3DA1ZKQUNDQVVQG1&qualifier=1619424971&id=4502360763175844&widgetName=sp_mtf,5.0 out of 5 stars,Genericn,"USB, USB 2.0",2000 GB
"External Hard Drive 2TB, Portable Hard Drive External for PC, Laptop and Mac (2TB, Silver)",49.99,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A05665993TYZHI09142D5&url=%2FExternal-Drive-Portable-Laptop-Silver%2Fdp%2FB08TWJXWB5%2Fref%3Dsr_1_19_sspa%3Fdchild%3D1%26keywords%3DHP%2BHard%2BDrive%26qid%3D1619423770%26sr%3D8-19-spons%26psc%3D1%26smid%3DA1ZKQUNDQVVQG1&qualifier=1619423770&id=7476227923822197&widgetName=sp_btf,4.0 out of 5 stars,Genericn,"USB, USB 2.0",2000 GB
"2TB External Hard Drive, Portable Hard Drive External Type-C/USB 2.0 HDD for Mac Laptop PC(2TB-Blue)",49.99,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A0301965185C1JRK5NI84&url=%2FExternal-Portable-Type-C-Laptop-2TB-Blue%2Fdp%2FB08VJ7TYCX%2Fref%3Dsr_1_43_sspa%3Fdchild%3D1%26keywords%3DSamsung%2BHard%2BDrive%26qid%3D1619424971%26sr%3D8-43-spons%26psc%3D1&qualifier=1619424971&id=4502360763175844&widgetName=sp_mtf,3.3 out of 5 stars,Genericn,"USB, USB 2.0",2000 GB
HP 3.5-Inch 4000 GB Hot-Swap 2 MB Cache Internal Hard Drive 693687-B21,290.82,https://www.amazon.com//HP-3-5-Inch-Hot-Swap-Internal-693687-B21/dp/B00BIZ8G16/ref=sr_1_23?dchild=1&keywords=HP+Hard+Drive&qid=1619423842&sr=8-23,5.0 out of 5 stars,HP,SATA 6.0 Gb/s,4 TB
"HP 146GB 6G SAS 15K RPM SFF (2.5"") SC Enterprise Hard Drive (652605-B21)",40,https://www.amazon.com//HP-146GB-Enterprise-Drive-652605-B21/dp/B007KWX89Q/ref=sr_1_35?dchild=1&keywords=HP+Hard+Drive&qid=1619423942&sr=8-35,5.0 out of 5 stars,HP,SAS,146 GB
HP 626162-001 HP 1TB 3G 7.2K 2.5 SATA Hard Drive,97,https://www.amazon.com//626162-001-7-2K-SATA-HARD-DRIVE/dp/B014RO1SMS/ref=sr_1_51?dchild=1&keywords=HP+Hard+Drive&qid=1619423942&sr=8-51,5.0 out of 5 stars,HP,SATA,1000 GB
"HP SSD S700 Pro 2.5"" 512GB SATA III 3D NAND Internal Solid State Drive (SSD) 2AP99AA#ABL",69.99,https://www.amazon.com//HP-2AP99AAABL-512GB-Retail-2AP99AA/dp/B0714G3RJM/ref=sr_1_31?dchild=1&keywords=HP+Hard+Drive&qid=1619423842&sr=8-31,4.7 out of 5 stars,HP,SATA 6.0 Gb/s,512 GB
"HP 652583-B21 - 600GB 2.5"" SAS 10K 6Gb/s SC Enterprise Hard Drive",69,https://www.amazon.com//HP-652583-B21-600GB-Enterprise-Drive/dp/B00OV8TSI2/ref=sr_1_35?dchild=1&keywords=HP+Hard+Drive&qid=1619423842&sr=8-35,4.5 out of 5 stars,HP,SAS,600 GB
1TB SATA Internal Laptop Hard Drive/HDD for HP Pavilion 15 17 DM4 DV2100 DV2500 DV3 DV4 DV4 DV4T DV5 DV6 DV6000 DV6100 DV6500 DV6600 DV6700 DV6800 DV7 DV9000 DV9100 DV9500 DV9700 G4 G6 G7 dv2000,48.69,https://www.amazon.com//Internal-Laptop-Pavilion-DV2100-DV2500/dp/B00TOMPJ5G/ref=sr_1_32?dchild=1&keywords=HP+Hard+Drive&qid=1619423842&sr=8-32,4.4 out of 5 stars,HP,SATA 6.0 Gb/s,1 TB
HP 1 Tb 2.5-Inch Internal Hard Drive 652749-B21,274,https://www.amazon.com//HP-2-5-Inch-Internal-Drive-652749-B21/dp/B007KWX97C/ref=sr_1_4?dchild=1&keywords=HP+Hard+Drive&qid=1619423770&sr=8-4,4.2 out of 5 stars,HP,SAS,1 TB
"HP Enterprise 1.8TB 12gb/s SAS 10K 2.5-inch MSA 512e Hard Drive, J9F49A",352.56,https://www.amazon.com//J9F49A-HP-1-8-TB-12G-512e/dp/B01BK7FUH4/ref=sr_1_40?dchild=1&keywords=HP+Hard+Drive&qid=1619423942&sr=8-40,,HP,SAS,2 TB
"Kingston 480GB A400 SATA 3 2.5"" Internal SSD SA400S37/480G - HDD Replacement for Increase Performance",54.99,https://www.amazon.com//Kingston-480GB-Solid-SA400S37-480G/dp/B01N0TQPQB/ref=sr_1_52?dchild=1&keywords=Samsung+Hard+Drive&qid=1619424971&sr=8-52,4.8 out of 5 stars,Kingston,SATA 3.0 Gb/s,480 GB
"LaCie Rugged Mini 1TB External Hard Drive Portable HDD – USB 3.0 USB 2.0 compatible, Drop Shock Dust Rain Resistant Shuttle Drive, For Mac And PC Computer Desktop Workstation PC Laptop (LAC301558)",69.99,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A0477659LCSLVAIFW7RO&url=%2FLaCie-Rugged-External-Drive-Portable%2Fdp%2FB0058VIWTM%2Fref%3Dsr_1_33_sspa%3Fdchild%3D1%26keywords%3DSeagate%2BHard%2BDrive%26qid%3D1619424632%26sr%3D8-33-spons%26psc%3D1&qualifier=1619424632&id=5333274938865727&widgetName=sp_atf_next,4.7 out of 5 stars,LaCie,USB 3.0,1 TB
"leizhan 64GB USB C Flash Drive for Android Phone,USB 3.0 Type C Memory Stick for Samsung Galaxy S10,S9, Note 9, S8, S8 Plus,Google Pixel XL, Blue",15.99,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A04701173KQ8INC34XL6I&url=%2Fleizhan-Android-Memory-Samsung-Galaxy%2Fdp%2FB07SWC1QB6%2Fref%3Dsr_1_60_sspa%3Fdchild%3D1%26keywords%3DSamsung%2BHard%2BDrive%26qid%3D1619425095%26sr%3D8-60-spons%26psc%3D1&qualifier=1619425095&id=1240216539071610&widgetName=sp_mtf,4.1 out of 5 stars,Leizhan,USB 3.0,64 GB
"Phone Picture Stick 128GB, Micro-USB 3.0 USB Flash Drive for Samsung Galaxy S7/S6/S5/S4/S3/Note5/4/3/2/Meizu/HTC/Nokia/Moto/Huawei/Xiaomi,Green",23.99,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A03001391WVOFPKSD8Z93&url=%2FPicture-Micro-USB-Samsung-Galaxy-Huawei%2Fdp%2FB07MFPG6Z7%2Fref%3Dsr_1_37_sspa%3Fdchild%3D1%26keywords%3DSanDisk%2BHard%2BDrive%26qid%3D1619424319%26sr%3D8-37-spons%26psc%3D1&qualifier=1619424319&id=2732120363140113&widgetName=sp_btf,3.9 out of 5 stars,Leizhan,USB 3.0,128 GB
"Maxone 500GB Ultra Slim Portable External Hard Drive HDD USB 3.0 for PC, Mac, Laptop, PS4, Xbox one - Rose Pink",38.49,https://www.amazon.com//Portable-External-Drives-Desktop-Chromebook/dp/B07BCP5L2B/ref=sr_1_29?dchild=1&keywords=HP+Hard+Drive&qid=1619423842&sr=8-29,4.6 out of 5 stars,Maxone,USB 3.0,500 GB
"Maxone 1TB Ultra Slim Portable External Hard Drive HDD USB 3.0 for PC, Mac, Laptop, PS4, Xbox one - Charcoal Grey",52.99,https://www.amazon.com//1000GB-Portable-External-Desktop-Chromebook/dp/B07C812LHQ/ref=sr_1_24?dchild=1&keywords=Samsung+Hard+Drive&qid=1619424861&sr=8-24,4.6 out of 5 stars,Maxone,USB 3.0,1 TB
ORICO Toolfree USB 3.0 to SATA External 3.5 Hard Drive Enclosure Case for 3.5 SATA HDD and SSD[Support UASP and 16TB Drives],19.99,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0254158RVAHMFIKHPKW&url=%2FORICO-Toolfree-External-Enclosure-Support%2Fdp%2FB00GAML7OK%2Fref%3Dsr_1_27_sspa%3Fdchild%3D1%26keywords%3DSeagate%2BHard%2BDrive%26qid%3D1619424557%26sr%3D8-27-spons%26psc%3D1&qualifier=1619424557&id=2053760944892977&widgetName=sp_mtf,4.6 out of 5 stars,ORICO,"SATA 3.0 Gb/s, SATA 6.0 Gb/s, SATA 1.5 Gb/s",8000 GB
ORICO 1TB Mini M.2 NVME Portable SSD Hard Drive External Solid State Drives Up to 940MB/s with 3D NAND/USB 3.1 Gen 2 Type C for PC Laptop Mac Phones and More (SSD Included)-GV100,162.99,https://www.amazon.com//ORICO-Portable-External-Drives-Laptop/dp/B081LDYFL3/ref=sr_1_35?dchild=1&keywords=SanDisk+Hard+Drive&qid=1619424319&sr=8-35,4.5 out of 5 stars,ORICO,USB,1000 GB
"ORICO SATA to USB 3.0 External Hard Drive Lay-Flat Docking Station for 2.5"" or 3.5"" HDD/SSD - Supports up to 8TB Drive",25.99,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A016805118V8IK89DNO6X&url=%2FORICO-External-Lay-Flat-Docking-Station%2Fdp%2FB00CBPB4PM%2Fref%3Dsr_1_15_sspa%3Fdchild%3D1%26keywords%3DSanDisk%2BHard%2BDrive%26qid%3D1619424208%26sr%3D8-15-spons%26psc%3D1&qualifier=1619424208&id=5706392565895059&widgetName=sp_mtf,4.3 out of 5 stars,ORICO,SATA,8 TB
RAOYI 10 Pack 8GB Swivel USB Flash Drive Metal Thumb Drives Pen Drive USB 2.0 Bulk Flash Drive Memory Stick(Mixed-Color),26.99,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A087024824Y8JJDUFSVBG&url=%2FRAOYI-Swivel-Drives-Memory-Colors%2Fdp%2FB01NCSLLHQ%2Fref%3Dsr_1_33_sspa%3Fdchild%3D1%26keywords%3DSanDisk%2BHard%2BDrive%26qid%3D1619424437%26sr%3D8-33-spons%26psc%3D1&qualifier=1619424437&id=7301655244006233&widgetName=sp_atf_next,4.6 out of 5 stars,RAOYI,USB 2.0,8 GB
"RAVPower Portable External SSD Pro, 1TB Hard Drive with 540MB/S Data Transfer, NAND Flash, USB 3.1 Gen 2 Interface, ATA Lock, Mini USB C Solid State Drive",149.99,https://www.amazon.com//RAVPower-Portable-External-Pro-Interface/dp/B086S5KJB1/ref=sr_1_12?dchild=1&keywords=SanDisk+Hard+Drive&qid=1619424208&sr=8-12,4.6 out of 5 stars,RAVPower,USB 3.1 Type C,1 TB
"Sabrent USB 3.0 to SATA I/II/III Dual Bay External Hard Drive Docking Station for 2.5 or 3.5in HDD, SSD with Hard Drive Duplicator/Cloner Function [10TB Support] (EC-HD2B)",34.98,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A02148346PK9CQJS8DX6&url=%2FSabrent-External-Duplicator-Function-EC-HD2B%2Fdp%2FB0759567JT%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3DSanDisk%2BHard%2BDrive%26qid%3D1619424208%26sr%3D8-21-spons%26psc%3D1%26smid%3DA29Y8OP2GPR7PE&qualifier=1619424208&id=5706392565895059&widgetName=sp_btf,4.6 out of 5 stars,SABRENT,USB,10 TB
Sabrent Rocket Nano 1TB USB 3.2 10Gb/s External Aluminum SSD (Black) (SB-1TB-NANO-BLK),149.98,https://www.amazon.com//Sabrent-Rocket-External-Aluminum-SB-1TB-NANO-BLK/dp/B07XL6BMFP/ref=sr_1_36?dchild=1&keywords=SanDisk+Hard+Drive&qid=1619424319&sr=8-36,4.5 out of 5 stars,SABRENT,"USB 3.0 Type A, USB Type C",1 TB
"SAMSUNG T7 Portable SSD 1TB - Up to 1050MB/s - USB 3.2 External Solid State Drive, Blue (MU-PC1T0H/AM)",159.99,https://www.amazon.com//SAMSUNG-Portable-SSD-1TB-MU-PC1T0H/dp/B0874YJP92/ref=sr_1_22?dchild=1&keywords=SanDisk+Hard+Drive&qid=1619424319&sr=8-22,4.8 out of 5 stars,SAMSUNG,USB,1 TB
Samsung T5 500GB USB 3.1 Pocket Size Portable External SSD (Blue),91.99,https://www.amazon.com//Samsung-500GB-Portable-Solid-State/dp/B074WZJ4MF/ref=sr_1_14?dchild=1&keywords=Samsung+Hard+Drive&qid=1619424719&sr=8-14,4.8 out of 5 stars,SAMSUNG,USB 3.0,500 GB
"SAMSUNG 860 EVO 1TB 2.5-Inch SATA III Internal SSD (MZ-76E1T0E), 1 TB",129.49,https://www.amazon.com//Samsung-860-EVO-1000GB-Serial/dp/B079W9STXH/ref=sr_1_20?dchild=1&keywords=Samsung+Hard+Drive&qid=1619424719&sr=8-20,4.8 out of 5 stars,SAMSUNG,"SATA 3.0 Gb/s, SATA 6.0 Gb/s, SATA 1.5 Gb/s",1 TB
"Samsung 860 QVO 1TB Solid State Drive (MZ-76Q1T0B/AM) V-NAND, SATA 6Gb/s, Quality and Value Optimized SSD",120.61,https://www.amazon.com//Samsung-Inch-Internal-MZ-76Q1T0B-AM/dp/B07L3D19MY/ref=sr_1_20?dchild=1&keywords=Samsung+Hard+Drive&qid=1619424861&sr=8-20,4.8 out of 5 stars,SAMSUNG,SATA 6.0 Gb/s,1 TB
"Samsung 860 EVO MZ-76E500E 500 GB Solid State Drive - SATA (SATA/600) - 2.5"" Drive - Internal - 550 MB/s Maximum Read Transfer Rate - 520 MB/s Maximum Write Transfer Rate - 256-bit Encryption Standard",70.55,https://www.amazon.com//Samsung-860-EVO-500GB-SSD/dp/B07937HDJM/ref=sr_1_29?dchild=1&keywords=Samsung+Hard+Drive&qid=1619424861&sr=8-29,4.8 out of 5 stars,SAMSUNG,"SATA 6.0 Gb/s, SATA 1.5 Gb/s",500 GB
SAMSUNG 980 PRO 1TB PCIe NVMe Gen4 Internal Gaming SSD M.2 (MZ-V8P1T0B),199.99,https://www.amazon.com//SAMSUNG-PCIe-Internal-Gaming-MZ-V8P1T0B/dp/B08GLX7TNT/ref=sr_1_33?dchild=1&keywords=Samsung+Hard+Drive&qid=1619424861&sr=8-33,4.8 out of 5 stars,SAMSUNG,SSD,1 TB
"SAMSUNG 870 QVO SATA III 2.5"" SSD 8TB (MZ-77Q8T0B)",799.99,https://www.amazon.com//SAMSUNG-870-QVO-SATA-MZ-77Q8T0B/dp/B089C3TZL9/ref=sr_1_35?dchild=1&keywords=Samsung+Hard+Drive&qid=1619424971&sr=8-35,4.8 out of 5 stars,SAMSUNG,SSD,8 TB
Samsung 860 PRO 1TB 2.5 Inch SATA III Internal SSD (MZ-76P1T0E),217.93,https://www.amazon.com//Samsung-Inch-SATA-Internal-MZ-76P1T0E/dp/B0793CV53Q/ref=sr_1_39?dchild=1&keywords=Samsung+Hard+Drive&qid=1619424971&sr=8-39,4.8 out of 5 stars,SAMSUNG,"SATA 3.0 Gb/s, SATA 6.0 Gb/s",1 TB
